entity;coupled;degree;average-revs;first-entity-revisions;second-entity-revisions;shared-revisions
clouddriver;deck;89;2279;2282;2276;2039
clouddriver;orca;86;2140;2282;1998;1841
deck;orca;86;2137;2276;1998;1850
gate;orca;66;1588;1177;1998;1060
deck;gate;65;1727;2276;1177;1127
clouddriver;gate;63;1730;2282;1177;1104
echo;orca;56;1444;889;1998;809
echo;gate;56;1033;889;1177;583
front50;orca;54;1445;892;1998;781
clouddriver;echo;53;1586;2282;889;842
deck;echo;53;1583;2276;889;849
front50;gate;53;1035;892;1177;558
echo;igor;53;825;889;761;445
clouddriver;front50;52;1587;2282;892;832
deck;front50;51;1584;2276;892;814
deck;keel;51;1566;2276;855;801
igor;orca;51;1380;761;1998;704
gate;igor;51;969;1177;761;499
clouddriver;keel;50;1569;2282;855;788
keel;orca;48;1427;855;1998;694
clouddriver;igor;47;1522;2282;761;722
deck;igor;47;1519;2276;761;726
echo;front50;47;891;889;892;425
echo;keel;47;872;889;855;415
front50;igor;47;827;892;761;393
echo;fiat;46;710;889;531;331
gate;keel;44;1016;1177;855;449
fiat;gate;44;854;531;1177;383
fiat;front50;44;712;531;892;317
kayenta;keel;43;707;558;855;305
igor;rosco;43;676;761;590;295
fiat;igor;43;646;531;761;284
echo;rosco;42;740;889;590;312
igor;keel;41;808;761;855;338
front50;rosco;41;741;892;590;304
echo;kayenta;41;724;889;558;302
gate;kayenta;40;868;1177;558;354
fiat;keel;40;693;531;855;281
igor;kayenta;40;660;761;558;266
fiat;kayenta;40;545;531;558;218
orca;rosco;39;1294;1998;590;513
kayenta;orca;39;1278;558;1998;510
gate;rosco;39;884;1177;590;350
fiat;orca;38;1265;531;1998;483
front50;keel;38;874;892;855;338
fiat;rosco;38;561;531;590;214
clouddriver;rosco;37;1436;2282;590;539
deck;rosco;37;1433;2276;590;543
clouddriver;kayenta;36;1420;2282;558;522
deck;kayenta;36;1417;2276;558;512
clouddriver;fiat;35;1407;2282;531;504
deck;fiat;35;1404;2276;531;492
front50;kayenta;34;725;892;558;249
kayenta;rosco;31;574;558;590;181
keel;rosco;30;723;855;590;222
